station,reseau,trafic,arrondissement,nb_corr,lat,lon
EDGAR QUINET,Métro,1011168,14.0,1,48.84111,2.3250699
SOLFERINO,Métro,923536,7.0,1,48.8586551,2.3229865
SULLY-MORLAND,Métro,767233,4.0,1,48.8513954,2.3618174
CHATELET,Métro,6030558,1.0,5,48.8568523,2.3483419
LA CHAPELLE,Métro,3825879,9.0,1,48.8844068,2.3603057
OPERA,Métro,3519216,9.0,3,48.8706446,2.33233
CHARLES DE GAULLE-ETOILE,Métro,3152200,8.0,3,48.8744088,2.295508
BASILIQUE DE SAINT-DENIS,Métro,2616421,,1,,
PORTE DE SAINT-OUEN,Métro,2060676,17.0,1,48.8971558,2.3288425
ARTS ET METIERS,Métro,1844332,3.0,2,48.8654718,2.3561116
CHEMIN VERT,Métro,685924,11.0,1,48.8574434,2.3681408
ASSEMBLEE NATIONALE,Métro,395997,7.0,1,48.8617819,2.3179827
NOISY-CHAMPS,RER,3393192,,1,,
BOURG-LA-REINE,RER,2409369,,1,,
FONTENAY-AUX-ROSES,RER,665966,,1,,
FUNICULAIRE,Métro,843984,18.0,1,48.8857954,2.3425196
PORTE DE CHOISY,Métro,647656,13.0,1,48.8201241,2.3647858
NANTERRE-VILLE,RER,2318006,,1,48.8902787,2.1953345
LA VARENNE-CHENNEVIERES,RER,1209310,,1,,
COMMERCE,Métro,1616379,15.0,1,48.8447112,2.2938643
QUAI DE LA RAPEE,Métro,525558,12.0,1,48.8464813,2.3659024
CHATOU-CROISSY,RER,1230132,,1,,
PORTE DE VANVES,Métro,2460078,14.0,1,48.827676,2.3054796
VICTOR HUGO,Métro,1991304,16.0,1,48.8699395,2.2860712
TOLBIAC,Métro,1496862,13.0,1,48.8260904,2.3573505
GAITE,Métro,1205958,14.0,1,48.838644,2.3225369
SAINT-PAUL,Métro,3357660,4.0,1,48.8553844,2.3604068
LAUMIERE,Métro,2107812,19.0,1,48.8851647,2.3794369
LES GOBELINS,Métro,1733427,13.0,1,48.8356304,2.3526735
CHATEAU DE VINCENNES,Métro,3735738,,1,48.8445322,2.4414925
PALAIS-ROYAL,Métro,3678654,1.0,2,48.8635847,2.3362042
MAIRIE DE CLICHY,Métro,3316323,,1,,
PYRAMIDES,Métro,3048580,1.0,2,48.8657452,2.3344687
LE KREMLIN-BICETRE,Métro,2244686,,1,48.8093374,2.3629202
NOTRE-DAME-DE-LORETTE,Métro,1176983,9.0,1,48.8760405,2.3374234
BREGUET-SABIN,Métro,1003059,11.0,1,48.8566358,2.3704159
AUBER,RER,3956779,9.0,1,48.8722245,2.3297877
SAINT-GERMAIN-EN-LAYE,RER,2644464,,1,48.8952356,2.094644
LA COURNEUVE-8 MAI 1945,Métro,3611264,,1,48.8267437,2.3571913
PORTE DE LA VILLETTE,Métro,1981878,19.0,1,48.8974039,2.385591
SAINT-AMBROISE,Métro,1544174,11.0,1,48.8610434,2.3747264
LOUVRE,Métro,1328080,1.0,1,48.8611473,2.3380277
BROCHANT,Métro,1227003,17.0,1,48.8905757,2.3202004
GARE DU NORD,Métro,25381876,10.0,2,48.881399,2.357438
BASTILLE,Métro,6084635,12.0,3,48.852987,2.3688579
PLACE CLICHY,Métro,3643247,17.0,2,48.8834776,2.3272899
GRANDS BOULEVARDS,Métro,2608284,9.0,2,48.8714412,2.3434953
PORTE DE MONTREUIL,Métro,2383093,20.0,1,48.8535352,2.4106565
ROBESPIERRE,Métro,2281953,,1,48.8558145,2.4237108
BERAULT,Métro,2112213,,1,48.845439,2.429261
FELIX FAURE,Métro,776924,15.0,1,48.8426775,2.2917792
PONT MARIE,Métro,721712,4.0,1,48.8537872,2.3565905
VANEAU,Métro,524526,7.0,1,48.8491519,2.3218529
BOTZARIS,Métro,511339,19.0,1,48.879514,2.3885871
PRE-SAINT-GERVAIS,Métro,226935,19.0,1,48.8802473,2.398843
